6,Jackson,Kentucky,JKL,1.41,75
2,Greer,South Carolina,GSP,0.04,33
5,Atlanta,Georgia,ATL,0.21,75
2,Birmingham,Alabama,BHM,0,41
11,Memphis,Tennessee,MEM,0.57,56
4,Nashville,Tennessee,BNA,0,56
8,Huntsville,Alabama,HSV,1.61,83
8,Wilmington,North Carolina,ILM,0.3,79
5,Tampa,Florida,TPA,0,82
9,Paducah,Kentucky,PAH,0,76
1,Vero Beach,Florida,VRB,1.59,65
12,Birmingham,Alabama,BHM,0.93,44
11,Alma,Georgia,AMG,0,57
6,West Palm Beach,Florida,PBI,0.09,84
7,Gainesville,Florida,GNV,0.03,83
6,Asheville,North Carolina,AVL,0.19,71
7,Charlotte,North Carolina,CLT,0,81
1,Memphis,Tennessee,MEM,0.05,42
1,Athens,Georgia,AHN,0,45
7,Knoxville,Tennessee,TYS,1,83
3,Nashville,Tennessee,BNA,1.88,65
4,Wilmington,North Carolina,ILM,0.39,66
9,Vero Beach,Florida,VRB,1.45,82
5,Savannah,Georgia,SAV,1.13,70
9,Daytona Beach,Florida,DAB,0.48,80
10,Huntsville,Alabama,HSV,0,72
11,Miami,Florida,MIA,0,75
9,Lexington,Kentucky,LEX,0,71
7,Knoxville,Tennessee,TYS,0.02,80
7,Augusta,Georgia,AGS,0.26,86
12,Tampa,Florida,TPA,0,71
1,Anderson,South Carolina,AND,0.09,46
4,Greer,South Carolina,GSP,0.43,53
4,Covington,Kentucky,CVG,0.52,42
10,Huntsville,Alabama,HSV,0,69
12,Athens,Georgia,AHN,0.18,45
7,Fort Lauderdale,Florida,FLL,0.91,85
7,Covington,Kentucky,CVG,1.31,75
11,Charleston,South Carolina,CHS,0,66
1,Huntsville,Alabama,HSV,1.57,52
7,Tallahassee,Florida,TLH,0.96,85
3,Macon,Georgia,MCN,0.9,58
7,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0.12,76
5,Pensacola,Florida,PNS,0.38,70
3,Clarksville,Tennessee,CKV,0.25,53
1,Greensboro,North Carolina,GSO,0.03,42
8,Paducah,Kentucky,PAH,6.06,81
12,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,1.57,38
3,Miami,Florida,MIA,0.01,73
10,Chattanooga,Tennessee,CHA,0,71
